geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name
2378080,zh-CN,AF,"非洲",MR,"毛裡塔尼亞"
2395170,zh-CN,AF,"非洲",BJ,"貝寧"
2400553,zh-CN,AF,"非洲",GA,"加蓬"
2403846,zh-CN,AF,"非洲",SL,"塞拉利昂"
2410758,zh-CN,AF,"非洲",ST,"聖多美和普林西比"
2411586,zh-CN,EU,歐洲,GI,"直布羅陀"
2413451,zh-CN,AF,"非洲",GM,"岡比亞"
2420477,zh-CN,AF,"非洲",GN,"幾內亞"
2434508,zh-CN,AF,"非洲",TD,"乍得"
2440476,zh-CN,AF,"非洲",NE,"尼日爾"
2453866,zh-CN,AF,"非洲",ML,"馬裡"
2464461,zh-CN,AF,"非洲",TN,"突尼斯"
2510769,zh-CN,EU,歐洲,ES,"西班牙"
2542007,zh-CN,AF,"非洲",MA,"摩洛哥"
2562770,zh-CN,EU,歐洲,MT,"馬耳他"
2589581,zh-CN,AF,"非洲",DZ,"阿爾及利亞"
2622320,zh-CN,EU,歐洲,FO,"法羅群島"
2623032,zh-CN,EU,歐洲,DK,丹麥
2629691,zh-CN,EU,歐洲,IS,"冰島"
2635167,zh-CN,EU,歐洲,GB,"英國"
2658434,zh-CN,EU,歐洲,CH,"瑞士"
2661886,zh-CN,EU,歐洲,SE,"瑞典"
2750405,zh-CN,EU,歐洲,NL,"荷蘭"
2782113,zh-CN,EU,歐洲,AT,"奧地利"
2802361,zh-CN,EU,歐洲,BE,"比利時"
2921044,zh-CN,EU,歐洲,DE,"德國"
2960313,zh-CN,EU,歐洲,LU,"盧森堡"
2963597,zh-CN,EU,歐洲,IE,"愛爾蘭"
2993457,zh-CN,EU,歐洲,MC,"摩納哥"
3017382,zh-CN,EU,歐洲,FR,"法國"
3041565,zh-CN,EU,歐洲,AD,"安道爾"
3042058,zh-CN,EU,歐洲,LI,"列支敦士登"
3042142,zh-CN,EU,歐洲,JE,"澤西島"
3042225,zh-CN,EU,歐洲,IM,"曼島"
3042362,zh-CN,EU,歐洲,GG,"格恩西島"
3057568,zh-CN,EU,歐洲,SK,"斯洛伐克共和國"
3077311,zh-CN,EU,歐洲,CZ,"捷克共和國"
3144096,zh-CN,EU,歐洲,NO,"挪威"
3164670,zh-CN,EU,歐洲,VA,"聖座（梵蒂岡）"
3168068,zh-CN,EU,歐洲,SM,"聖馬力諾"
3175395,zh-CN,EU,歐洲,IT,"意大利"
3190538,zh-CN,EU,歐洲,SI,"斯洛文尼亞"
3194884,zh-CN,EU,歐洲,ME,"黑山共和國"
3202326,zh-CN,EU,歐洲,HR,"克羅地亞"
3277605,zh-CN,EU,歐洲,BA,"波斯尼亞和黑山共和國"
3351879,zh-CN,AF,"非洲",AO,"安哥拉"
3355338,zh-CN,AF,"非洲",NA,"納米比亞"
3370751,zh-CN,AF,"非洲",SH,"聖赫勒拿"
3374084,zh-CN,NA,"北美洲",BB,"巴巴多斯"
3374766,zh-CN,AF,"非洲",CV,"佛得角"
3378535,zh-CN,SA,"南美洲",GY,"圭亞那"
3381670,zh-CN,SA,"南美洲",GF,"法屬圭亞那"
3382998,zh-CN,SA,"南美洲",SR,"蘇裡南"
3424932,zh-CN,NA,"北美洲",PM,"聖皮埃爾和密克隆"
3425505,zh-CN,NA,"北美洲",GL,"格陵蘭"
3437598,zh-CN,SA,"南美洲",PY,"巴拉圭"
3439705,zh-CN,SA,"南美洲",UY,"烏拉圭"
3469034,zh-CN,SA,"南美洲",BR,巴西
3474414,zh-CN,SA,"南美洲",FK,"福克蘭群島"
3474415,zh-CN,AN,"南極洲",GS,"南喬治亞島和南桑威齊群島"
3489940,zh-CN,NA,"北美洲",JM,"牙買加"
3508796,zh-CN,NA,"北美洲",DO,"多米尼加共和國"
3562981,zh-CN,NA,"北美洲",CU,"古巴"
3570311,zh-CN,NA,"北美洲",MQ,"馬提尼克群島"
3572887,zh-CN,NA,"北美洲",BS,"巴哈馬"
3573345,zh-CN,NA,"北美洲",BM,"百慕大"
3573511,zh-CN,NA,"北美洲",AI,"安圭拉"
3573591,zh-CN,NA,"北美洲",TT,"特立尼達和多巴哥"
3575174,zh-CN,NA,"北美洲",KN,"聖基茨和尼維斯"
3575830,zh-CN,NA,"北美洲",DM,"多米尼加"
3576396,zh-CN,NA,"北美洲",AG,"安提瓜和巴布達"
3576468,zh-CN,NA,"北美洲",LC,"聖盧西亞"
3576916,zh-CN,NA,"北美洲",TC,"特克斯和凱科斯群島"
3577279,zh-CN,NA,"北美洲",AW,"阿魯巴"
3577718,zh-CN,NA,"北美洲",VG,"英屬維京群島"
3577815,zh-CN,NA,"北美洲",VC,"聖文森特和格林納丁斯"
3578097,zh-CN,NA,"北美洲",MS,"蒙塞拉特群島"
3578421,zh-CN,NA,"北美洲",MF,"聖馬丁"
3578476,zh-CN,NA,"北美洲",BL,"聖巴泰勒米"
3579143,zh-CN,NA,"北美洲",GP,"瓜德羅普島"
3580239,zh-CN,NA,"北美洲",GD,"格林納達"
3580718,zh-CN,NA,"北美洲",KY,"開曼群島"
3582678,zh-CN,NA,"北美洲",BZ,"伯利茲"
3585968,zh-CN,NA,"北美洲",SV,"薩爾瓦多"
3595528,zh-CN,NA,"北美洲",GT,"危地馬拉"
3608932,zh-CN,NA,"北美洲",HN,"洪都拉斯"
3617476,zh-CN,NA,"北美洲",NI,"尼加拉瓜"
3624060,zh-CN,NA,"北美洲",CR,"哥斯達黎加"
3625428,zh-CN,SA,"南美洲",VE,"委內瑞拉"
3658394,zh-CN,SA,"南美洲",EC,"厄瓜多爾"
3686110,zh-CN,SA,"南美洲",CO,"哥倫比亞"
3703430,zh-CN,NA,"北美洲",PA,"巴拿馬"
3723988,zh-CN,NA,"北美洲",HT,"海地"
3865483,zh-CN,SA,"南美洲",AR,"阿根廷"
3895114,zh-CN,SA,"南美洲",CL,"智利"
3923057,zh-CN,SA,"南美洲",BO,"玻利維亞"
3932488,zh-CN,SA,"南美洲",PE,"秘魯"
3996063,zh-CN,NA,"北美洲",MX,"墨西哥"
4030656,zh-CN,OC,"大洋洲",PF,"法屬波利尼西亞"
4030699,zh-CN,OC,"大洋洲",PN,"皮特凱恩群島"
4030945,zh-CN,OC,"大洋洲",KI,"基裡巴斯"
4031074,zh-CN,OC,"大洋洲",TK,"托克勞"
4032283,zh-CN,OC,"大洋洲",TO,"湯加"
4034749,zh-CN,OC,"大洋洲",WF,"瓦利斯和富圖納"
4034894,zh-CN,OC,"大洋洲",WS,"薩摩亞"
4036232,zh-CN,OC,"大洋洲",NU,"紐埃"
4041468,zh-CN,OC,"大洋洲",MP,"北馬裡亞納群島"
4043988,zh-CN,OC,"大洋洲",GU,"關島"
4566966,zh-CN,NA,"北美洲",PR,"波多黎各"
4796775,zh-CN,NA,"北美洲",VI,"美屬維京群島"
5854968,zh-CN,OC,"大洋洲",UM,"美國邊遠小島"
5880801,zh-CN,OC,"大洋洲",AS,"美屬薩摩亞"
6251999,zh-CN,NA,"北美洲",CA,"加拿大"
6252001,zh-CN,NA,"北美洲",US,"美國"
6254930,zh-CN,AS,"亞洲",PS,"巴勒斯坦領土"
6255147,zh-CN,AS,"亞洲",,
6255148,zh-CN,EU,歐洲,,
6290252,zh-CN,EU,歐洲,RS,"塞爾維亞"
6697173,zh-CN,AN,"南極洲",AQ,"南極洲"
7609695,zh-CN,NA,"北美洲",SX,"聖馬丁島"
7626836,zh-CN,NA,"北美洲",CW,"庫拉索"
7626844,zh-CN,NA,"北美洲",BQ,"博奈爾島、聖尤斯達蒂斯和薩巴"
7909807,zh-CN,AF,"非洲",SS,"南蘇丹"
